"EAUS_Educational attainment, at least completed upper secondary (ISCED 3 or more) (% population aged 25+), by sex"

"Country (Engl. Name/Nat. Name)";"Sex";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"BE Belgium/Belgique-België ";"Female";10.92;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;55.47;..;57.63;59.28;59.75;60.89;61.56;62.83;62.30;64.70;65.41;..
"BE Belgium/Belgique-België ";"Male";17.43;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;60.17;..;63.42;64.28;63.85;64.77;64.98;65.82;65.86;67.83;68.86;..
"na Bosnia and Herzegovina/Bosna i Hercegovina ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;31.11;32.74;..;..;59.57;60.83;62.38;..
"na Bosnia and Herzegovina/Bosna i Hercegovina ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;27.91;29.41;..;..;47.51;49.68;50.92;..
"na Bosnia and Herzegovina/Bosna i Hercegovina ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;34.58;36.36;..;..;72.83;72.90;74.92;..
"BG Bulgaria/Bulgaria ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;59.46;..;..;..;..;64.45;67.02;67.61;68.26;69.61;70.65;72.48;73.94;73.81;74.91;75.60;..
"BG Bulgaria/Bulgaria ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;57.86;..;..;..;..;62.89;65.14;65.85;66.63;67.96;68.87;70.56;72.15;72.51;73.66;74.33;..
"BG Bulgaria/Bulgaria ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;61.22;..;..;..;..;66.18;69.11;69.57;70.07;71.46;72.64;74.58;75.90;75.24;76.29;76.99;..
"na Canada/Canada ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;44.13;..;..;..;..;49.35;..;..;..;..;..;..;..;..;..;74.58;..;..;..;..;79.40;..;..;..;..;82.75;..;..;..;..;..;..
"na Canada/Canada ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;41.81;..;..;..;..;47.70;..;..;..;..;..;..;..;..;..;70.57;..;..;..;..;79.12;..;..;..;..;82.74;..;..;..;..;..;..
"na Canada/Canada ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;46.57;..;..;..;..;51.15;..;..;..;..;..;..;..;..;..;71.47;..;..;..;..;79.71;..;..;..;..;82.76;..;..;..;..;..;..
"HR Croatia/Hrvatska ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;59.60;..;..;..;..;..;..;..;..;..;70.71;..;..;..;..;..;..
"HR Croatia/Hrvatska ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;50.46;..;..;..;..;..;..;..;..;..;63.20;..;..;..;..;..;..
"HR Croatia/Hrvatska ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;69.99;..;..;..;..;..;..;..;..;..;79.13;..;..;..;..;..;..
"CY Cyprus/Kibris ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;57.14;58.67;61.20;63.53;64.50;63.82;65.45;67.78;68.92;69.89;69.50;69.05;71.16;..
"CY Cyprus/Kibris ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;53.52;55.28;58.43;60.69;61.37;60.74;62.34;65.14;66.59;67.75;68.06;67.41;69.67;..
"CY Cyprus/Kibris ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;61.07;62.31;64.17;66.54;67.78;67.01;68.68;70.72;71.50;72.27;71.10;70.86;72.77;..
"CZ Czech Republic/Ceská Republika ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;85.48;85.78;86.14;87.25;87.99;88.40;88.53;89.16;89.63;89.77;90.23;..
"CZ Czech Republic/Ceská Republika ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;79.26;79.63;80.05;81.71;82.58;83.23;83.67;84.73;85.25;85.58;86.36;..
"CZ Czech Republic/Ceská Republika ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;92.24;92.44;92.70;93.19;93.79;93.94;93.71;93.89;94.31;94.24;94.35;..
"DK Denmark/Danmark ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;57.84;..;..;58.16;60.04;..;..;..;..;..;..;..;84.26;82.28;..;..;76.28;78.79;74.98;74.94;75.48;76.00;76.55;76.83;77.75;78.18;..
"DK Denmark/Danmark ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;52.11;..;..;53.56;55.70;..;..;..;..;..;..;..;83.83;82.63;..;..;75.43;78.10;73.49;73.43;74.81;75.54;76.50;76.34;77.81;78.81;..
"DK Denmark/Danmark ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;63.49;..;..;62.71;64.33;..;..;..;..;..;..;..;84.52;81.95;..;..;77.09;79.47;80.80;76.44;76.14;76.47;69.52;77.34;77.69;77.55;..
"EE Estonia/Eesti ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;71.46;..;..;..;..;..;..;85.70;85.32;85.68;86.46;86.55;87.25;88.41;89.68;89.69;86.89;..
"EE Estonia/Eesti ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;72.05;..;..;..;..;..;..;86.22;86.29;87.19;88.43;88.51;88.89;90.50;91.89;91.48;89.89;..
"EE Estonia/Eesti ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;70.69;..;..;..;..;..;..;85.07;84.17;83.91;84.14;84.25;85.34;86.07;87.22;87.71;83.61;..
"FI Finland/Suomi ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;64.40;..;66.20;67.13;67.97;68.79;69.63;70.45;71.20;71.95;72.81;73.57;74.02;..;..
"FI Finland/Suomi ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;63.71;..;65.75;66.82;67.79;68.76;69.70;70.61;71.47;72.34;73.27;74.11;74.72;..;..
"FI Finland/Suomi ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;65.14;..;66.68;67.46;68.16;68.81;69.56;70.27;70.91;71.54;72.33;72.99;73.27;..;..
"MK North Macedonia/Severna Makedonija ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"MK North Macedonia/Severna Makedonija ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"MK North Macedonia/Severna Makedonija ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"FR France/France ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;55.70;56.59;..;59.42;60.35;61.26;61.90;62.77;63.75;66.34;68.53;69.44;69.67;..
"FR France/France ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;51.99;52.87;..;56.01;57.16;58.23;58.65;59.70;60.88;63.38;65.42;66.73;66.92;..
"FR France/France ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;59.80;60.71;..;63.18;63.91;64.62;65.52;66.18;66.94;69.62;71.98;72.44;72.71;..
